code	product_name	ingredients_text	categories	brands	countries	countries_tags
8901491102208	Kurkure Solid Masti	Corn meal, Oil, Spices, Salt	Snacks	PepsiCo	en:India	en:india
8901030895147	Bingo Mad Angles	Potato, Corn flour, Oil, Spices, Sugar, Salt	Snacks	ITC	en:India	en:india
8901030895123	Bingo Tedhe Medhe	Corn grits, Oil, Spices, Salt	Snacks	ITC	en:India	en:india
8901030895100	Bingo Yumitos Chips	Potatoes, Oil, Salt, Spices	Snacks	ITC	en:India	en:india
8906001130202	Haldiram Aloo Bhujia	Potato, Gram flour, Oil, Salt, Spices	Snacks	Haldiram's	en:India	en:india
8906001130301	Haldiram Sev Bhujia	Gram flour, Oil, Salt, Spices	Snacks	Haldiram's	en:India	en:india
8901491104004	Cheetos Masala Balls	Corn meal, Oil, Spices, Salt, Flavour enhancers	Snacks	PepsiCo	en:India	en:india
8902080001001	Real Mixed Fruit Juice	Water, Fruit pulp, Sugar, Preservative (211)	Beverages	Dabur	en:India	en:india
8902080001002	Real Mango Juice	Mango pulp, Water, Sugar, Preservative	Beverages	Dabur	en:India	en:india
8902080001003	Real Apple Juice	Apple pulp, Sugar, Water	Beverages	Dabur	en:India	en:india
8902080001004	Real Orange Juice	Orange pulp, Sugar, Water	Beverages	Dabur	en:India	en:india
8901030897000	Sunfeast Dark Fantasy	Maida, Sugar, Palm oil, Cocoa, Milk solids	Snacks, Biscuits	ITC	en:India	en:india
8901030897017	Sunfeast Marie Light	Maida, Sugar, Oil	Snacks, Biscuits	ITC	en:India	en:india
8901063013001	Britannia Good Day	Maida, Sugar, Oil, Milk solids	Snacks, Biscuits	Britannia	en:India	en:india
8901063013018	Britannia Bourbon	Maida, Sugar, Cocoa, Fat	Snacks, Biscuits	Britannia	en:India	en:india
8901063013025	Britannia Little Hearts	Maida, Sugar, Oil	Snacks, Biscuits	Britannia	en:India	en:india
8901063013032	Britannia Tiger Biscuit	Maida, Sugar, Oil	Snacks, Biscuits	Britannia	en:India	en:india
8901058005905	KitKat Chocolate	Sugar, Cocoa, Milk solids, Maida, Fat	Snacks	Nestle	en:India	en:india
8901058006001	Nestle Munch	Sugar, Wheat flour, Cocoa, Milk solids	Snacks	Nestle	en:India	en:india
8901058006018	Milkybar Chocolate	Sugar, Milk solids, Cocoa butter	Snacks	Nestle	en:India	en:india
8901491105001	Pepsi Drink	Carbonated water, Sugar, Caffeine	Beverages	PepsiCo	en:India	en:india
8901491105002	Mirinda Orange	Carbonated water, Sugar, Colour	Beverages	PepsiCo	en:India	en:india
8901491105003	7Up Drink	Carbonated water, Sugar	Beverages	PepsiCo	en:India	en:india
8901764011001	Amul Butter	Butter, Salt	Dairy	Amul	en:India	en:india
8901764012001	Amul Ice Cream	Milk solids, Sugar, Stabilizers	Dairy	Amul	en:India	en:india
8901764013001	Amul Milk Full Cream	Milk	Dairy	Amul	en:India	en:india
8906013031001	Maggi Noodles	Maida, Palm oil, Salt, Spices, Flavour enhancers	Instant Food	Nestle	en:India	en:india
8906013031002	Yippee Noodles	Wheat flour, Oil, Salt, Spices	Instant Food	ITC	en:India	en:india
8901234567001	Pringles Original	Potato flakes, Oil, Salt	Snacks	Pringles	en:India	en:india
8901234567002	Pringles Sour Cream	Potato flakes, Oil, Milk solids	Snacks	Pringles	en:India	en:india
8901234567003	Oreo Biscuits	Maida, Sugar, Palm oil, Cocoa	Snacks	Nabisco	en:India	en:india
8901234567004	Hide & Seek Biscuit	Maida, Sugar, Cocoa, Fat	Snacks	Parle	en:India	en:india
8901234567005	Parle G Biscuit	Maida, Sugar, Oil	Snacks	Parle	en:India	en:india
8901234567006	Monaco Biscuit	Maida, Salt, Oil	Snacks	Parle	en:India	en:india
8901234567007	Frooti Mango Drink	Water, Mango pulp, Sugar	Beverages	Parle	en:India	en:india
8901234567008	Maaza Mango Drink	Mango pulp, Sugar, Water	Beverages	CocaCola	en:India	en:india
8901234567009	Thums Up	Carbonated water, Sugar, Caffeine	Beverages	CocaCola	en:India	en:india
8901234567010	Sprite Drink	Carbonated water, Sugar	Beverages	CocaCola	en:India	en:india
8901234567011	Bournvita Drink Powder	Sugar, Cocoa, Milk solids, Vitamins	Beverages	Cadbury	en:India	en:india
8901234567012	Horlicks Powder	Wheat flour, Sugar, Milk solids	Beverages	Horlicks	en:India	en:india
8901491101105	Lays Classic Salted Potato Chips	Potatoes, Edible Vegetable Oil (Palmolein), Iodised Salt	Snacks, Chips, Potato chips	PepsiCo	en:India	en:india
8901491101150	Lays Cream & Onion Potato Chips	Potatoes, Edible Oil, Milk solids, Onion powder, Sugar, Salt, Flavour enhancers (621, 627, 631)	Snacks, Chips, Flavored chips	PepsiCo	en:India	en:india
8901491101303	Lays Magic Masala Potato Chips	Potatoes, Edible Oil, Spices, Sugar, Salt, Flavour enhancers (621, 627, 631)	Snacks, Chips	PepsiCo	en:India	en:india
8901491103007	Lays Sizzlin Hot Chips	Potatoes, Oil, Spices, Salt, Artificial colours, Flavour enhancers (621)	Snacks, Chips	PepsiCo	en:India	en:india
8901725000023	Balaji Classic Salted Chips	Potatoes, Edible Palmolein Oil, Salt	Snacks, Chips	Balaji	en:India	en:india
8901725000061	Balaji Tomato Twist Chips	Potatoes, Oil, Tomato powder, Sugar, Salt, Flavour enhancers (621)	Snacks, Chips	Balaji	en:India	en:india
8901725000108	Balaji Masala Masti Chips	Potatoes, Oil, Spices, Salt, Artificial flavours	Snacks, Chips	Balaji	en:India	en:india
8901725000153	Balaji Cheese Chips	Potatoes, Oil, Cheese powder (Milk solids), Salt, Flavour enhancers	Snacks, Chips	Balaji	en:India	en:india
8904004401025	Uncle Chips Classic Salted	Potatoes, Edible Oil, Salt	Snacks, Chips	Uncle Chips	en:India	en:india
8904004401100	Uncle Chips Spicy Treat	Potatoes, Oil, Spices, Salt, Flavour enhancers (621, 627)	Snacks, Chips	Uncle Chips	en:India	en:india
8901491102000	Kurkure Masala Munch	Corn meal, Edible oil, Spices, Salt, Flavour enhancers (621, 627), Artificial flavours	Snacks, Extruded snacks	PepsiCo	en:India	en:india
8901491102109	Kurkure Green Chutney Style	Corn meal, Oil, Spices, Salt, Flavour enhancers (621, 635)	Snacks, Extruded snacks	PepsiCo	en:India	en:india
8901030895147	Bingo Mad Angles Masala Madness	Potato, Corn flour, Oil, Spices, Sugar, Salt, Flavour enhancers (621, 635)	Snacks, Chips	ITC	en:India	en:india
8901030895123	Bingo Tedhe Medhe	Corn grits, Oil, Spices, Salt, Flavour enhancers (621, 627)	Snacks, Chips	ITC	en:India	en:india
8906001130202	Haldiram Aloo Bhujia	Potatoes, Gram flour, Oil, Salt, Spices	Snacks, Namkeen	Haldiram's	en:India	en:india
8901491104004	Cheetos Masala Balls	Corn meal, Oil, Spices, Salt, Flavour enhancers (621)	Snacks, Chips	PepsiCo	en:India	en:india
8902080001001	Real Mixed Fruit Juice	Water, Fruit pulp, Sugar, Acidity regulator (330), Preservative (211)	Beverages, Juices	Dabur	en:India	en:india
8902080001002	Real Mango Juice	Mango pulp, Water, Sugar, Preservative (211), Acidity regulator	Beverages, Juices	Dabur	en:India	en:india
8901030897000	Sunfeast Dark Fantasy Biscuit	Refined Wheat Flour (Maida), Sugar, Palm oil, Cocoa solids, Milk solids, Raising agents, Flavour	Snacks, Biscuits	ITC	en:India	en:india
8901063013001	Britannia Good Day Biscuit	Refined Wheat Flour (Maida), Sugar, Vegetable oil, Milk solids, Raising agents	Snacks, Biscuits	Britannia	en:India	en:india
8901063013018	Britannia Bourbon Biscuit	Maida, Sugar, Cocoa solids, Hydrogenated fat, Artificial flavours	Snacks, Biscuits	Britannia	en:India	en:india
8901058005905	KitKat Chocolate Wafer	Sugar, Cocoa solids, Milk solids, Refined flour (Maida), Hydrogenated fat, Emulsifier	Snacks, Chocolate	Nestle	en:India	en:india
8901058006001	Nestle Munch Wafer	Sugar, Wheat flour, Palm oil, Cocoa solids, Milk solids, Emulsifier	Snacks, Chocolate	Nestle	en:India	en:india
8901058006018	Nestle Milkybar Chocolate	Sugar, Milk solids, Cocoa butter, Emulsifier	Snacks, Chocolate	Nestle	en:India	en:india
8901491105001	Pepsi Soft Drink	Carbonated water, Sugar, Caffeine, Acidity regulator, Caramel colour	Beverages, Soft drinks	PepsiCo	en:India	en:india
8901491105002	Mirinda Orange Drink	Carbonated water, Sugar, Artificial colour, Flavour	Beverages, Soft drinks	PepsiCo	en:India	en:india
8901491105003	7Up Lemon Drink	Carbonated water, Sugar, Acidity regulator	Beverages, Soft drinks	PepsiCo	en:India	en:india
8901764011001	Amul Butter	Butter, Salt	Dairy, Butter	Amul	en:India	en:india
8901764012001	Amul Ice Cream	Vanilla, Milk solids, Sugar, Stabilizers	Dairy, Ice cream	Amul	en:India	en:india
8906013031001	Maggi Instant Noodles	Wheat flour (Maida), Palm oil, Salt, Spices, Flavour enhancers (621, 627)	Instant food, Noodles	Nestle	en:India	en:india
8906013031002	Yippee Noodles	Wheat flour, Oil, Salt, Spices, Flavour enhancers	Instant food, Noodles	ITC	en:India	en:india
8902080002001	Real Apple Juice	Apple pulp, Sugar, Water, Preservative	Beverages, Juice	Dabur	en:India	en:india
8902080002002	Real Orange Juice	Orange pulp, Sugar, Preservative, Acidity regulator	Beverages, Juice	Dabur	en:India	en:india
8901491101105	Lays Classic Salted Potato Chips	Potatoes, Edible Vegetable Oil (Palmolein), Iodised Salt	Snacks, Chips, Potato chips	PepsiCo	en:India	en:india
8901491101150	Lays American Style Cream & Onion	Potatoes, Edible Vegetable Oil, Seasoning (Milk solids, Sugar, Salt, Onion powder, Flavour enhancers (621, 627, 631), Acidity regulator (330))	Snacks, Chips, Flavored chips	PepsiCo	en:India	en:india
8901491101303	Lays Magic Masala Potato Chips	Potatoes, Edible Vegetable Oil, Spice mix (Salt, Sugar, Spices, Tomato powder, Flavour enhancers (621, 627, 631), Acidity regulator (330))	Snacks, Chips, Masala chips	PepsiCo	en:India	en:india
8901725000023	Balaji Classic Salted Chips	Potatoes, Edible Palmolein Oil, Salt	Snacks, Chips	Balaji	en:India	en:india
8901725000061	Balaji Tomato Twist Chips	Potatoes, Edible Oil, Tomato seasoning (Sugar, Salt, Spices, Flavour enhancers (621), Acidity regulator)	Snacks, Chips, Flavored chips	Balaji	en:India	en:india
8901725000108	Balaji Masala Masti Chips	Potatoes, Edible Oil, Masala mix (Salt, Sugar, Spices, Flavour enhancers (621), Artificial flavours)	Snacks, Chips	Balaji	en:India	en:india
8904004401025	Uncle Chips Classic Salted	Potatoes, Edible Vegetable Oil (Palmolein), Salt	Snacks, Chips	Uncle Chips	en:India	en:india
8904004401100	Uncle Chips Spicy Treat	Potatoes, Edible Oil, Spices, Salt, Flavour enhancers (621, 627, 631)	Snacks, Chips	Uncle Chips	en:India	en:india
8901030895147	Bingo Mad Angles Masala Madness	Potato, Edible Vegetable Oil, Corn Flour, Spices, Sugar, Salt, Flavour enhancers (621, 635), Artificial flavours	Snacks, Chips, Corn snacks	ITC	en:India	en:india
8901030895123	Bingo Tedhe Medhe Masala Tadka	Corn grits, Edible oil, Spices, Salt, Flavour enhancers (621, 627), Acidity regulator	Snacks, Chips, Extruded snacks	ITC	en:India	en:india
8906001130202	Haldiram's Aloo Bhujia	Potatoes, Gram flour (Besan), Edible vegetable oil, Salt, Spices	Snacks, Namkeen	Haldiram's	en:India	en:india
8901491102000	Kurkure Masala Munch	Corn meal, Edible oil, Spices, Salt, Flavour enhancers (621, 627), Artificial flavours	Snacks, Chips, Extruded snacks	PepsiCo	en:India	en:india
8901491102109	Kurkure Green Chutney Style	Corn meal, Edible oil, Spices, Salt, Flavour enhancers (621, 635), Artificial flavouring	Snacks, Chips	PepsiCo	en:India	en:india
8901030896007	Sunfeast YiPPee Power Up Noodles Snack	Wheat flour (Maida), Edible oil, Salt, Spices, Flavour enhancers	Snacks, Instant snacks	ITC	en:India	en:india
8902080001001	Real Fruit Power Mixed Fruit Juice	Water, Fruit pulp (Apple, Orange, Mango), Sugar, Acidity regulator (330), Preservatives (211)	Beverages, Juices	Dabur	en:India	en:india
8901491103007	Lays Sizzlin Hot Chips	Potatoes, Edible Oil, Spices, Salt, Flavour enhancers (621, 627, 631), Artificial colours	Snacks, Chips	PepsiCo	en:India	en:india
8901725000153	Balaji Cheese Chips	Potatoes, Edible Oil, Cheese powder (Milk solids), Salt, Flavour enhancers	Snacks, Chips	Balaji	en:India	en:india
8909000000001	Oats Biscuit	Whole oats, Whole wheat flour, Jaggery, Rice bran oil, Baking powder, Cardamom	Snacks, Biscuits, Healthy snacks	HealthyMe Select	en:India	en:india
8909000000002	Whole Wheat Biscuit	Whole wheat flour, Jaggery, Cold pressed sunflower oil, Milk solids, Baking powder	Snacks, Biscuits, Healthy snacks	HealthyMe Select	en:India	en:india
8909000000003	Ragi Biscuit	Ragi flour, Whole wheat flour, Jaggery, Coconut oil, Baking powder	Snacks, Biscuits, Millet snacks	HealthyMe Select	en:India	en:india
8909000000004	Multigrain Biscuit	Whole wheat flour, Oats, Ragi flour, Bajra flour, Jaggery, Rice bran oil	Snacks, Biscuits, Multigrain snacks	HealthyMe Select	en:India	en:india
8909000000005	High Fiber Digestive Biscuit	Whole wheat flour, Oats bran, Wheat bran, Jaggery, Sunflower oil	Snacks, Biscuits, Fiber-rich foods	HealthyMe Select	en:India	en:india
8909000000006	Jaggery Oat Cookie	Oats, Whole wheat flour, Jaggery, Butter, Cinnamon, Baking powder	Snacks, Cookies, Healthy snacks	HealthyMe Select	en:India	en:india
8909000000007	Seed Mix Cookie	Whole wheat flour, Pumpkin seeds, Sunflower seeds, Flax seeds, Jaggery, Coconut oil	Snacks, Cookies, Seed-based snacks	HealthyMe Select	en:India	en:india
8909000000008	Millet Cookie	Ragi flour, Jowar flour, Bajra flour, Jaggery, Ghee, Cardamom	Snacks, Cookies, Millet snacks	HealthyMe Select	en:India	en:india
8909000000009	Dark Cocoa Oat Cookie	Oats, Whole wheat flour, Dark cocoa, Jaggery, Coconut oil	Snacks, Cookies, Cocoa snacks	HealthyMe Select	en:India	en:india
8909000000010	Peanut Jaggery Cookie	Whole wheat flour, Peanut paste, Jaggery, Coconut oil, Baking powder	Snacks, Cookies, Nut snacks	HealthyMe Select	en:India	en:india
8909000000011	Roasted Makhana Sea Salt	Makhana, Rock salt, Cold pressed sunflower oil	Snacks, Roasted snacks, Fox nuts	HealthyMe Select	en:India	en:india
8909000000012	Roasted Makhana Peri Peri	Makhana, Olive oil, Peri peri seasoning, Salt	Snacks, Roasted snacks, Fox nuts	HealthyMe Select	en:India	en:india
8909000000013	Roasted Makhana Mint	Makhana, Mint powder, Rock salt, Cold pressed oil	Snacks, Roasted snacks, Fox nuts	HealthyMe Select	en:India	en:india
8909000000014	Baked Sweet Potato Chips	Sweet potato, Olive oil, Salt, Black pepper	Snacks, Baked snacks, Chips	HealthyMe Select	en:India	en:india
8909000000015	Baked Beetroot Chips	Beetroot, Olive oil, Salt	Snacks, Baked snacks, Vegetable chips	HealthyMe Select	en:India	en:india
8909000000016	Baked Banana Chips Raw Banana	Raw banana, Rice bran oil, Rock salt	Snacks, Baked snacks, Chips	HealthyMe Select	en:India	en:india
8909000000017	Khakhra Multigrain	Whole wheat flour, Bajra flour, Jowar flour, Methi, Salt, Oil	Snacks, Roasted snacks, Khakhra	HealthyMe Select	en:India	en:india
8909000000018	Khakhra Jeera	Whole wheat flour, Cumin, Salt, Cold pressed oil	Snacks, Roasted snacks, Khakhra	HealthyMe Select	en:India	en:india
8909000000019	Roasted Chana Salted	Whole roasted chana, Salt	Snacks, Roasted snacks, Pulses	HealthyMe Select	en:India	en:india
8909000000020	Roasted Chana Masala	Roasted chana, Spices, Salt	Snacks, Roasted snacks, Pulses	HealthyMe Select	en:India	en:india
8909000000021	Oats Noodles	Whole oats flour, Whole wheat flour, Salt, Natural seasoning	Instant foods, Noodles, Healthy alternatives	HealthyMe Select	en:India	en:india
8909000000022	Whole Wheat Noodles	Whole wheat flour, Salt, Natural vegetable extracts	Instant foods, Noodles, Healthy alternatives	HealthyMe Select	en:India	en:india
8909000000023	Millet Noodles	Ragi flour, Jowar flour, Whole wheat flour, Salt	Instant foods, Noodles, Millet foods	HealthyMe Select	en:India	en:india
8909000000024	Brown Rice Noodles	Brown rice flour, Salt	Instant foods, Noodles, Rice foods	HealthyMe Select	en:India	en:india
8909000000025	Vegetable Oats Pasta	Oats flour, Whole wheat semolina, Spinach powder, Tomato powder, Salt	Pasta, Healthy foods, Whole grain foods	HealthyMe Select	en:India	en:india
8909000000026	Whole Wheat Pasta	Whole wheat semolina, Water	Pasta, Healthy foods, Whole grain foods	HealthyMe Select	en:India	en:india
8909000000027	Millet Pasta	Ragi flour, Whole wheat semolina, Water	Pasta, Healthy foods, Millet foods	HealthyMe Select	en:India	en:india
8909000000028	Instant Poha Mix	Poha, Peanuts, Curry leaves, Mustard seeds, Salt, Turmeric	Instant foods, Breakfasts, Ready to cook	HealthyMe Select	en:India	en:india
8909000000029	Instant Upma Mix	Semolina, Chana dal, Urad dal, Curry leaves, Salt, Mustard	Instant foods, Breakfasts, Ready to cook	HealthyMe Select	en:India	en:india
8909000000030	Millet Upma Mix	Foxtail millet, Chana dal, Urad dal, Curry leaves, Salt	Instant foods, Breakfasts, Millet foods	HealthyMe Select	en:India	en:india
8909000000031	Coconut Water Natural	Coconut water	Beverages, Healthy drinks, Natural drinks	HealthyMe Select	en:India	en:india
8909000000032	Lemon Water Unsweetened	Water, Lemon juice, Rock salt	Beverages, Healthy drinks, Unsweetened drinks	HealthyMe Select	en:India	en:india
8909000000033	Buttermilk Classic	Curd, Water, Salt, Cumin	Beverages, Dairy drinks, Healthy drinks	HealthyMe Select	en:India	en:india
8909000000034	Buttermilk Mint	Curd, Water, Mint, Salt, Cumin	Beverages, Dairy drinks, Healthy drinks	HealthyMe Select	en:India	en:india
8909000000035	Unsweetened Almond Drink	Water, Almonds, Stabilizer, Salt	Beverages, Plant based drinks, Unsweetened drinks	HealthyMe Select	en:India	en:india
8909000000036	Unsweetened Soy Drink	Water, Soybeans, Salt	Beverages, Plant based drinks, Unsweetened drinks	HealthyMe Select	en:India	en:india
8909000000037	Unsweetened Oat Drink	Water, Oats, Salt	Beverages, Plant based drinks, Unsweetened drinks	HealthyMe Select	en:India	en:india
8909000000038	Fresh Orange Juice No Sugar	Orange juice	Beverages, Juices, Unsweetened juices	HealthyMe Select	en:India	en:india
8909000000039	Fresh Apple Juice No Sugar	Apple juice	Beverages, Juices, Unsweetened juices	HealthyMe Select	en:India	en:india
8909000000040	Fresh Pomegranate Juice No Sugar	Pomegranate juice	Beverages, Juices, Unsweetened juices	HealthyMe Select	en:India	en:india
8909000000041	Greek Yogurt Plain	Milk solids, Live cultures	Dairy, Yogurts, High protein foods	HealthyMe Select	en:India	en:india
8909000000042	Low Fat Yogurt Plain	Toned milk, Live cultures	Dairy, Yogurts, Low fat foods	HealthyMe Select	en:India	en:india
8909000000043	Probiotic Curd	Milk, Live probiotic cultures	Dairy, Curd, Functional foods	HealthyMe Select	en:India	en:india
8909000000044	Low Fat Paneer	Toned milk, Acidity regulator	Dairy, Paneer, High protein foods	HealthyMe Select	en:India	en:india
8909000000045	Unsalted Butter Small Portion	Cream	Dairy, Butter, Portion controlled foods	HealthyMe Select	en:India	en:india
8909000000046	Fresh Cow Milk	Milk	Dairy, Milk	HealthyMe Select	en:India	en:india
8909000000047	Toned Milk	Milk	Dairy, Milk	HealthyMe Select	en:India	en:india
8909000000048	Double Toned Milk	Milk	Dairy, Milk, Low fat foods	HealthyMe Select	en:India	en:india
8909000000049	Unsweetened Lassi	Curd, Water	Dairy drinks, Healthy drinks	HealthyMe Select	en:India	en:india
8909000000050	Protein Yogurt	Milk solids, Live cultures, Milk protein	Dairy, Yogurts, High protein foods	HealthyMe Select	en:India	en:india
8909000000051	Dark Chocolate 70 Cocoa	Cocoa mass, Cocoa butter, Sugar, Emulsifier	Snacks, Chocolates, Dark chocolate	HealthyMe Select	en:India	en:india
8909000000052	Dark Chocolate 85 Cocoa	Cocoa mass, Cocoa butter, Sugar	Snacks, Chocolates, Dark chocolate	HealthyMe Select	en:India	en:india
8909000000053	Dates And Almond Bites	Dates, Almonds, Cocoa powder	Snacks, Energy bites, Fruit snacks	HealthyMe Select	en:India	en:india
8909000000054	Nut And Seed Bar	Dates, Peanuts, Almonds, Pumpkin seeds, Sunflower seeds	Snacks, Bars, Seed bars	HealthyMe Select	en:India	en:india
8909000000055	Peanut Chikki	Peanuts, Jaggery	Snacks, Traditional sweets, Nut snacks	HealthyMe Select	en:India	en:india
8909000000056	Sesame Chikki	Sesame seeds, Jaggery	Snacks, Traditional sweets, Seed snacks	HealthyMe Select	en:India	en:india
8909000000057	Dry Fruit Bar	Dates, Cashews, Almonds, Raisins	Snacks, Bars, Dry fruit snacks	HealthyMe Select	en:India	en:india
8909000000058	Cocoa Millet Bar	Ragi flakes, Dates syrup, Cocoa, Almonds	Snacks, Bars, Millet snacks	HealthyMe Select	en:India	en:india
8909000000059	Roasted Almond Pack	Almonds	Snacks, Nuts, Roasted nuts	HealthyMe Select	en:India	en:india
8909000000060	Roasted Cashew Pack	Cashews, Salt	Snacks, Nuts, Roasted nuts	HealthyMe Select	en:India	en:india
8909000000061	Whole Wheat Bread	Whole wheat flour, Yeast, Salt, Water, Wheat gluten	Breads, Whole grain foods	HealthyMe Select	en:India	en:india
8909000000062	Multigrain Bread	Whole wheat flour, Oats, Ragi flour, Seeds, Yeast, Salt	Breads, Multigrain foods	HealthyMe Select	en:India	en:india
8909000000063	Brown Bread	Whole wheat flour, Yeast, Salt, Water	Breads, Whole grain foods	HealthyMe Select	en:India	en:india
8909000000064	Millet Bread	Whole wheat flour, Bajra flour, Jowar flour, Yeast, Salt	Breads, Millet foods	HealthyMe Select	en:India	en:india
8909000000065	Sourdough Bread	Whole wheat flour, Sourdough culture, Salt, Water	Breads, Fermented foods	HealthyMe Select	en:India	en:india
8909000000066	High Fiber Bread	Whole wheat flour, Wheat bran, Oats bran, Yeast, Salt	Breads, Fiber-rich foods	HealthyMe Select	en:India	en:india
8909000000067	Whole Wheat Pav	Whole wheat flour, Yeast, Salt, Water	Breads, Bakery foods	HealthyMe Select	en:India	en:india
8909000000068	Whole Wheat Bun	Whole wheat flour, Yeast, Salt, Water	Breads, Bakery foods	HealthyMe Select	en:India	en:india
8909000000069	Whole Wheat Pita	Whole wheat flour, Yeast, Salt, Water	Breads, Bakery foods	HealthyMe Select	en:India	en:india
8909000000070	Whole Wheat Tortilla	Whole wheat flour, Sunflower oil, Salt	Breads, Flatbreads	HealthyMe Select	en:India	en:india
8909000000071	Unsweetened Peanut Butter	Peanuts, Salt	Spreads, Nut butters, High protein foods	HealthyMe Select	en:India	en:india
8909000000072	Unsweetened Almond Butter	Almonds, Salt	Spreads, Nut butters, High protein foods	HealthyMe Select	en:India	en:india
8909000000073	Hummus Classic	Chickpeas, Tahini, Olive oil, Garlic, Lemon juice, Salt	Spreads, Plant based foods	HealthyMe Select	en:India	en:india
8909000000074	Hung Curd Dip	Curd, Garlic, Herbs, Salt	Spreads, Dips, Dairy foods	HealthyMe Select	en:India	en:india
8909000000075	Mint Yogurt Dip	Curd, Mint, Salt, Cumin	Spreads, Dips, Dairy foods	HealthyMe Select	en:India	en:india
8909000000076	Avocado Spread	Avocado, Lemon juice, Salt	Spreads, Plant based foods	HealthyMe Select	en:India	en:india
8909000000077	Tomato Salsa	Tomato, Onion, Garlic, Salt, Lemon juice	Spreads, Dips, Vegetable foods	HealthyMe Select	en:India	en:india
8909000000078	Peanut Chutney Spread	Peanuts, Garlic, Red chilli, Salt	Spreads, Traditional foods	HealthyMe Select	en:India	en:india
8909000000079	Flax Seed Chutney Powder	Flax seeds, Curry leaves, Garlic, Salt	Spreads, Seed foods	HealthyMe Select	en:India	en:india
8909000000080	Idli Podi Lentil Mix	Chana dal, Urad dal, Sesame seeds, Red chilli, Salt	Spreads, Traditional foods	HealthyMe Select	en:India	en:india
8909000000081	Instant Oats Porridge Plain	Oats, Milk solids, Salt	Breakfasts, Oat foods	HealthyMe Select	en:India	en:india
8909000000082	Muesli Fruit And Nut	Rolled oats, Raisins, Almonds, Pumpkin seeds, Dried apple	Breakfasts, Cereals, Healthy foods	HealthyMe Select	en:India	en:india
8909000000083	Granola Low Sugar	Rolled oats, Honey, Almonds, Seeds, Coconut oil	Breakfasts, Cereals, Healthy foods	HealthyMe Select	en:India	en:india
8909000000084	Ragi Porridge Mix	Ragi flour, Cardamom	Breakfasts, Millet foods	HealthyMe Select	en:India	en:india
8909000000085	Sattu Drink Mix	Roasted gram flour, Cumin, Black salt	Breakfasts, Traditional foods, High protein foods	HealthyMe Select	en:India	en:india
8909000000086	Oats Chilla Mix	Oats flour, Besan, Spices, Salt	Breakfasts, Ready mixes, Healthy foods	HealthyMe Select	en:India	en:india
8909000000087	Moong Chilla Mix	Moong dal flour, Spices, Salt	Breakfasts, Ready mixes, High protein foods	HealthyMe Select	en:India	en:india
8909000000088	Dalia Plain	Broken wheat	Breakfasts, Cereals, Whole grain foods	HealthyMe Select	en:India	en:india
8909000000089	Quinoa Breakfast Mix	Quinoa flakes, Oats, Pumpkin seeds, Almonds	Breakfasts, Cereals, Healthy foods	HealthyMe Select	en:India	en:india
8909000000090	Millet Muesli	Bajra flakes, Jowar flakes, Nuts, Seeds, Raisins	Breakfasts, Millet foods	HealthyMe Select	en:India	en:india
8909000000091	Roasted Peanut Snack	Peanuts, Salt	Snacks, Nuts, Roasted nuts	HealthyMe Select	en:India	en:india
8909000000092	Trail Mix Classic	Almonds, Cashews, Raisins, Pumpkin seeds	Snacks, Mixed snacks, Dry fruit snacks	HealthyMe Select	en:India	en:india
